Tree,Alignment Patterns,bi,final GAMMA-based Likelihood,paired samples,,tropicalis sample-ids,PC1,PC2
45,34858,-1541593.764,-1592750.486,,,CS2308,0.251567,-0.0674194
59,34797,-1541528.062,-1590375.666,,,CS0943,0.253522,-0.0690877
40,34741,-1541495.464,-1591958.871,,,CS0709,0.254162,-0.0692827
97,34767,-1541460.529,-1591832.588,,,,,
43,34767,-1541366.382,-1590826.596,,,,,
14,34816,-1541361.119,-1590416.524,,,,,
19,34771,-1541282.665,-1589336.236,,,,,
5,33844/34853,-1541277.349,-1591173.601,"CW0266,CS0044 and CS2272,CS2273",,,,
67,34798,-1541239.467,-1589945.103,,,,,
46,34832,-1541126.166,-1591406.641,,,,,
68,34807,-1541117.253,-1592570.073,,,,,
21,34779,-1541093.272,-1592207.754,,,,,
42,34737,-1541084.969,-1588737.181,,,,,
81,34863,-1540912.956,-1591899.477,,,,,
24,34775,-1540909.366,-1590900.1,,,,,
54,34827,-1540893.434,-1591447.242,,,,,
7,33839/34807,-1540743.788,-1591996.225,same,,,,
96,34750,-1540653.712,-1589971.482,,,,,
94,34843,-1540593.706,-1591649.318,,,,,
71,34766,-1540561.181,-1590200.085,,,,,
65,34854,-1540438.73,-1591004.844,,,,,
95,34700,1541761.815,-1590814.953,,,,,
