tropicalis sample-ids,before filtering,after filtering,reads passed filter,reads failed due to low quality,reads failed due to too many N,reads failed due to too short,reads with adapter trimmed ,bases trimmed due to adapters,
CS2364_1,"total reads: 3527479
total bases: 529121850
Q20 bases: 519787705(98.2359%)
Q30 bases: 500022473(94.5004%)
","total reads: 3514392
total bases: 526985279
Q20 bases: 518068057(98.3079%)
Q30 bases: 498504651(94.5956%)
",7028784,26078,4,92,12942,424422,
CS2364_2,"total reads: 3527479
total bases: 529121850
Q20 bases: 515670144(97.4577%)
Q30 bases: 489080947(92.4326%)
","total reads: 3514392
total bases: 526991775
Q20 bases: 514287339(97.5893%)
Q30 bases: 487968982(92.5952%)
",,,,,,,
CS2365_1,"total reads: 3700371
total bases: 555055650
Q20 bases: 545311291(98.2444%)
Q30 bases: 524281946(94.4557%)
","total reads: 3687706
total bases: 552963953
Q20 bases: 543627621(98.3116%)
Q30 bases: 522798295(94.5447%)
",7375412,25248,12,70,12530,475163,
CS2365_2,"total reads: 3700371
total bases: 555055650
Q20 bases: 540718449(97.417%)
Q30 bases: 512125705(92.2657%)
","total reads: 3687706
total bases: 552971133
Q20 bases: 539353265(97.5373%)
Q30 bases: 511026641(92.4147%)
",,,,,,,
CS2383_1,"total reads: 4428188
total bases: 664228200
Q20 bases: 652396445(98.2187%)
Q30 bases: 627341978(94.4468%)
","total reads: 4411171
total bases: 661423347
Q20 bases: 650106628(98.289%)
Q30 bases: 625314842(94.5408%)
",8822342,33760,12,262,16690,588508,
CS2383_2,"total reads: 4428188
total bases: 664228200
Q20 bases: 647512590(97.4835%)
Q30 bases: 614264975(92.478%)
","total reads: 4411171
total bases: 661435096
Q20 bases: 645709691(97.6225%)
Q30 bases: 612825490(92.6509%)
",,,,,,,
CS2397_1,"total reads: 6172732
total bases: 925909800
Q20 bases: 911626458(98.4574%)
Q30 bases: 879836036(95.0239%)
","total reads: 6144361
total bases: 921352843
Q20 bases: 907838436(98.5332%)
Q30 bases: 876456649(95.1271%)
",12288722,56240,2,500,21540,865779,
CS2397_2,"total reads: 6172732
total bases: 925909800
Q20 bases: 899651363(97.164%)
Q30 bases: 849098382(91.7042%)
","total reads: 6144361
total bases: 921356900
Q20 bases: 896826183(97.3375%)
Q30 bases: 846903483(91.9192%)
",,,,,,,
CS2400_1,"total reads: 5024078
total bases: 753611700
Q20 bases: 737507808(97.8631%)
Q30 bases: 706844511(93.7943%)
","total reads: 5001699
total bases: 749925723
Q20 bases: 734552057(97.95%)
Q30 bases: 704252076(93.9096%)
",10003398,43894,346,518,27190,976449,
CS2400_2,"total reads: 5024078
total bases: 753611700
Q20 bases: 733632066(97.3488%)
Q30 bases: 696116093(92.3707%)
","total reads: 5001699
total bases: 749926458
Q20 bases: 731243993(97.5088%)
Q30 bases: 694211861(92.5707%)
",,,,,,,
CS2401_1,"total reads: 4665957
total bases: 699893550
Q20 bases: 684645437(97.8214%)
Q30 bases: 655638330(93.6769%)
","total reads: 4643117
total bases: 696164187
Q20 bases: 681641728(97.9139%)
Q30 bases: 653011483(93.8014%)
",9286234,44958,296,426,24536,894892,
CS2401_2,"total reads: 4665957
total bases: 699893550
Q20 bases: 678629857(96.9619%)
Q30 bases: 639997495(91.4421%)
","total reads: 4643117
total bases: 696166904
Q20 bases: 676224348(97.1354%)
Q30 bases: 638098800(91.6589%)
",,,,,,,
CW0018_1,"total reads: 5231602
total bases: 784740300
Q20 bases: 767262313(97.7728%)
Q30 bases: 740173840(94.3209%)
","total reads: 5034614
total bases: 754902713
Q20 bases: 741812512(98.266%)
Q30 bases: 719737701(95.3418%)
",10069228,384572,9404,0,35262,1165822,
CW0018_2,"total reads: 5231602
total bases: 784740300
Q20 bases: 731629963(93.2321%)
Q30 bases: 673815197(85.8647%)
","total reads: 5034614
total bases: 754902713
Q20 bases: 716497717(94.9126%)
Q30 bases: 665791678(88.1957%)
",,,,,,,
CW0065_1,"total reads: 4461060
total bases: 669159000
Q20 bases: 654313931(97.7815%)
Q30 bases: 631216604(94.3298%)
","total reads: 4289131
total bases: 643117799
Q20 bases: 632041028(98.2776%)
Q30 bases: 613301190(95.3637%)
",8578262,336008,7850,0,31966,986524,
CW0065_2,"total reads: 4461060
total bases: 669159000
Q20 bases: 622825819(93.0759%)
Q30 bases: 572564688(85.5648%)
","total reads: 4289131
total bases: 643117799
Q20 bases: 609618361(94.7911%)
Q30 bases: 565586963(87.9445%)
",,,,,,,
CW0067_1,"total reads: 5480064
total bases: 822009600
Q20 bases: 803965798(97.8049%)
Q30 bases: 775862857(94.3861%)
","total reads: 5253261
total bases: 787710137
Q20 bases: 774526222(98.3263%)
Q30 bases: 752131397(95.4833%)
",10506522,444274,9332,0,33904,1349034,
CW0067_2,"total reads: 5480064
total bases: 822009600
Q20 bases: 763328439(92.8613%)
Q30 bases: 700865002(85.2624%)
","total reads: 5253261
total bases: 787710137
Q20 bases: 746058562(94.7123%)
Q30 bases: 691786238(87.8224%)
",,,,,,,
CW0071_1,"total reads: 4960395
total bases: 744059250
Q20 bases: 727809287(97.816%)
Q30 bases: 702598388(94.4277%)
","total reads: 4830858
total bases: 724427778
Q20 bases: 711166557(98.1694%)
Q30 bases: 689273590(95.1473%)
",9661716,255712,3362,0,23130,845234,
CW0071_2,"total reads: 4960395
total bases: 744059250
Q20 bases: 702044872(94.3534%)
Q30 bases: 653427565(87.8193%)
","total reads: 4830858
total bases: 724427778
Q20 bases: 691898571(95.5097%)
Q30 bases: 647919996(89.4389%)
",,,,,,,
CW0074_1,"total reads: 3701073
total bases: 555160950
Q20 bases: 545166453(98.1997%)
Q30 bases: 528481638(95.1943%)
","total reads: 3593008
total bases: 538508782
Q20 bases: 530699535(98.5498%)
Q30 bases: 516646072(95.9401%)
",7186016,214648,1482,0,52536,1449486,
CW0074_2,"total reads: 3701073
total bases: 555160950
Q20 bases: 525531832(94.663%)
Q30 bases: 490023669(88.267%)
","total reads: 3593008
total bases: 538508782
Q20 bases: 517320074(96.0653%)
Q30 bases: 485695032(90.1926%)
",,,,,,,
CW0107_1,"total reads: 6161903
total bases: 924285450
Q20 bases: 903311802(97.7308%)
Q30 bases: 870995989(94.2345%)
","total reads: 5893129
total bases: 883702677
Q20 bases: 868519239(98.2818%)
Q30 bases: 842946897(95.3881%)
",11786258,526924,10624,0,30060,1309138,
CW0107_2,"total reads: 6161903
total bases: 924285450
Q20 bases: 855557649(92.5642%)
Q30 bases: 782971541(84.711%)
","total reads: 5893129
total bases: 883702677
Q20 bases: 835183417(94.5095%)
Q30 bases: 772317492(87.3956%)
",,,,,,,
CW0178_1,"total reads: 6579762
total bases: 986964300
Q20 bases: 968658768(98.1453%)
Q30 bases: 938585532(95.0982%)
","total reads: 6449806
total bases: 966688039
Q20 bases: 951274445(98.4055%)
Q30 bases: 924501643(95.636%)
",12899612,255270,4642,0,92040,2328764,
CW0178_2,"total reads: 6579762
total bases: 986964300
Q20 bases: 944853795(95.7333%)
Q30 bases: 890974046(90.2742%)
","total reads: 6449806
total bases: 966688039
Q20 bases: 934410085(96.661%)
Q30 bases: 885131221(91.5633%)
",,,,,,,
CW0190_1,"total reads: 5006272
total bases: 750940800
Q20 bases: 735013888(97.8791%)
Q30 bases: 710133104(94.5658%)
","total reads: 4883700
total bases: 732318413
Q20 bases: 719237227(98.2137%)
Q30 bases: 697516021(95.2476%)
",9767400,241632,3512,0,27462,1040854,
CW0190_2,"total reads: 5006272
total bases: 750940800
Q20 bases: 710369558(94.5973%)
Q30 bases: 663001238(88.2894%)
","total reads: 4883700
total bases: 732318413
Q20 bases: 700699464(95.6823%)
Q30 bases: 657689676(89.8093%)
",,,,,,,
CW0192_1,"total reads: 4370337
total bases: 655550550
Q20 bases: 640170149(97.6538%)
Q30 bases: 616804171(94.0895%)
","total reads: 4252436
total bases: 637682378
Q20 bases: 625082656(98.0241%)
Q30 bases: 604695753(94.8271%)
",8504872,228758,7044,0,19338,887302,
CW0192_2,"total reads: 4370337
total bases: 655550550
Q20 bases: 620222759(94.611%)
Q30 bases: 578619216(88.2646%)
","total reads: 4252436
total bases: 637682378
Q20 bases: 610995115(95.815%)
Q30 bases: 573559567(89.9444%)
",,,,,,,
CW0219_1,"total reads: 6788689
total bases: 1018303350
Q20 bases: 996985733(97.9066%)
Q30 bases: 963641913(94.6321%)
","total reads: 6623262
total bases: 993178340
Q20 bases: 975718665(98.242%)
Q30 bases: 946651004(95.3153%)
",13246524,325976,4878,0,37190,1487734,
CW0219_2,"total reads: 6788689
total bases: 1018303350
Q20 bases: 964008597(94.6681%)
Q30 bases: 900503885(88.4318%)
","total reads: 6623262
total bases: 993178340
Q20 bases: 950971428(95.7503%)
Q30 bases: 893333055(89.9469%)
",,,,,,,
CW0223_1,"total reads: 4545811
total bases: 681871650
Q20 bases: 667342754(97.8693%)
Q30 bases: 644639152(94.5397%)
","total reads: 4441582
total bases: 666033462
Q20 bases: 654002411(98.1936%)
Q30 bases: 634038152(95.1961%)
",8883164,202798,5660,0,24842,939336,
CW0223_2,"total reads: 4545811
total bases: 681871650
Q20 bases: 647058497(94.8945%)
Q30 bases: 605304769(88.7711%)
","total reads: 4441582
total bases: 666033462
Q20 bases: 638751803(95.9039%)
Q30 bases: 600695378(90.19%)
",,,,,,,
CW0238_1,"total reads: 4884123
total bases: 732618450
Q20 bases: 715064596(97.604%)
Q30 bases: 688502308(93.9783%)
","total reads: 4755269
total bases: 713118060
Q20 bases: 698654609(97.9718%)
Q30 bases: 675352707(94.7042%)
",9510538,249870,7838,0,18140,804324,
CW0238_2,"total reads: 4884123
total bases: 732618450
Q20 bases: 693278857(94.6303%)
Q30 bases: 646627408(88.2625%)
","total reads: 4755269
total bases: 713118060
Q20 bases: 683205255(95.8054%)
Q30 bases: 641114622(89.903%)
",,,,,,,
CW0242_1,"total reads: 4816498
total bases: 722474700
Q20 bases: 699653355(96.8412%)
Q30 bases: 664152518(91.9274%)
","total reads: 4547644
total bases: 681784245
Q20 bases: 664917489(97.5261%)
Q30 bases: 636568910(93.3681%)
",9095288,536490,1218,0,65692,1409452,
CW0242_2,"total reads: 4816498
total bases: 722474700
Q20 bases: 660620701(91.4386%)
Q30 bases: 600290782(83.0881%)
","total reads: 4547644
total bases: 681784245
Q20 bases: 640428450(93.9342%)
Q30 bases: 589660750(86.4879%)
",,,,,,,
CW0263_1,"total reads: 5470282
total bases: 820542300
Q20 bases: 809839772(98.6957%)
Q30 bases: 792949458(96.6372%)
","total reads: 5337035
total bases: 800231101
Q20 bases: 791898561(98.9587%)
Q30 bases: 777965339(97.2176%)
",10674070,261096,5398,0,34704,1362062,
CW0263_2,"total reads: 5470282
total bases: 820542300
Q20 bases: 782549457(95.3698%)
Q30 bases: 737647613(89.8976%)
","total reads: 5337035
total bases: 800231101
Q20 bases: 772360119(96.5171%)
Q30 bases: 731998037(91.4733%)
",,,,,,,
CW0266_1,"total reads: 5381033
total bases: 807154950
Q20 bases: 796836590(98.7216%)
Q30 bases: 780448891(96.6913%)
","total reads: 5233496
total bases: 784616881
Q20 bases: 776749527(98.9973%)
Q30 bases: 763503869(97.3091%)
",10466992,289968,5106,0,45190,1413734,
CW0266_2,"total reads: 5381033
total bases: 807154950
Q20 bases: 765447661(94.8328%)
Q30 bases: 716498892(88.7684%)
","total reads: 5233496
total bases: 784616881
Q20 bases: 754209012(96.1245%)
Q30 bases: 710346513(90.5342%)
",,,,,,,
CW0271_1,"total reads: 5638108
total bases: 845716200
Q20 bases: 829793309(98.1172%)
Q30 bases: 803774334(95.0407%)
","total reads: 5460055
total bases: 818633566
Q20 bases: 806232361(98.4851%)
Q30 bases: 784713157(95.8565%)
",10920110,351678,4428,0,42496,1375342,
CW0271_2,"total reads: 5638108
total bases: 845716200
Q20 bases: 797410758(94.2882%)
Q30 bases: 745950380(88.2034%)
","total reads: 5460055
total bases: 818633566
Q20 bases: 783579956(95.718%)
Q30 bases: 738501266(90.2115%)
",,,,,,,
CW0361_1,"total reads: 5457150
total bases: 818572500
Q20 bases: 808053220(98.7149%)
Q30 bases: 791373118(96.6772%)
","total reads: 5308317
total bases: 795857754
Q20 bases: 787829582(98.9913%)
Q30 bases: 774351690(97.2978%)
",10616634,292590,5076,0,44728,1450356,
CW0361_2,"total reads: 5457150
total bases: 818572500
Q20 bases: 776127394(94.8147%)
Q30 bases: 726407343(88.7407%)
","total reads: 5308317
total bases: 795857754
Q20 bases: 764820692(96.1002%)
Q30 bases: 720220630(90.4962%)
",,,,,,,
CW0371_1,"total reads: 4456654
total bases: 668498100
Q20 bases: 653387136(97.7396%)
Q30 bases: 625275584(93.5344%)
","total reads: 4437096
total bases: 665377587
Q20 bases: 650901178(97.8243%)
Q30 bases: 623110837(93.6477%)
",88741912,38484,268,364,13990,542616,
CW0371_2,"total reads: 4456654
total bases: 668498100
Q20 bases: 649652356(97.1809%)
Q30 bases: 614690079(91.9509%)
","total reads: 4437096
total bases: 665380869
Q20 bases: 647658349(97.3365%)
Q30 bases: 613115424(92.145%)
",,,,,,,
CW0385_1,"total reads: 5848721
total bases: 877308150
Q20 bases: 865729629(98.6802%)
Q30 bases: 847558939(96.609%)
","total reads: 5653381
total bases: 847624815
Q20 bases: 839194221(99.0054%)
Q30 bases: 825087180(97.3411%)
",11306762,385580,5100,0,40792,1688782,
CW0385_2,"total reads: 5848721
total bases: 877308150
Q20 bases: 825526898(94.0977%)
Q30 bases: 767163933(87.4452%)
","total reads: 5653381
total bases: 847624815
Q20 bases: 810922037(95.6699%)
Q30 bases: 759297080(89.5794%)
",,,,,,,
CW0386_1,"total reads: 4493783
total bases: 674067450
Q20 bases: 659353829(97.8172%)
Q30 bases: 636491217(94.4254%)
","total reads: 4375446
total bases: 656114708
Q20 bases: 644168025(98.1792%)
Q30 bases: 624394734(95.1655%)
",8750892,231336,5338,0,24054,894874,
CW0386_2,"total reads: 4493783
total bases: 674067450
Q20 bases: 636484746(94.4245%)
Q30 bases: 592499361(87.8991%)
","total reads: 4375446
total bases: 656114708
Q20 bases: 627182939(95.5904%)
Q30 bases: 587427860(89.5313%)
",,,,,,,
CW0395_1,"total reads: 5472497
total bases: 820874550
Q20 bases: 809763276(98.6464%)
Q30 bases: 792167849(96.5029%)
","total reads: 5214003
total bases: 781732710
Q20 bases: 774229010(99.0401%)
Q30 bases: 761531735(97.4159%)

",10428006,512742,4246,0,39688,1660828,
CW0395_2,"total reads: 5472497
total bases: 820874550
Q20 bases: 755967444(92.0929%)
Q30 bases: 686823079(83.6697%)
","total reads: 5214003
total bases: 781732710
Q20 bases: 737110529(94.2919%)
Q30 bases: 677122236(86.6181%)
",,,,,,,
CW0458_1,"total reads: 5606225
total bases: 840933750
Q20 bases: 823736427(97.955%)
Q30 bases: 797203789(94.7998%)
","total reads: 5519291
total bases: 827619289
Q20 bases: 812610347(98.1865%)
Q30 bases: 788412322(95.2627%)
",11038582,171424,2444,0,26808,1065194,
CW0458_2,"total reads: 5606225
total bases: 840933750
Q20 bases: 804066127(95.6159%)
Q30 bases: 757995576(90.1374%)
","total reads: 5519291
total bases: 827619289
Q20 bases: 796830837(96.2799%)
Q30 bases: 753867371(91.0887%)
",,,,,,,
CW0464_1,"total reads: 4603535
total bases: 690530250
Q20 bases: 677488568(98.1114%)
Q30 bases: 656090682(95.0126%)
","total reads: 4467527
total bases: 669756461
Q20 bases: 659472247(98.4645%)
Q30 bases: 641566757(95.7911%)
",8935054,268604,3412,0,44040,1236960,
CW0464_2,"total reads: 4603535
total bases: 690530250
Q20 bases: 651810636(94.3928%)
Q30 bases: 609939053(88.3291%)
","total reads: 4467527
total bases: 669756461
Q20 bases: 641117724(95.724%)
Q30 bases: 604144764(90.2036%)
",,,,,,,
"
CW0478_1
","total reads: 4612388
total bases: 691858200
Q20 bases: 678903844(98.1276%)
Q30 bases: 657690662(95.0615%)
","total reads: 4464535
total bases: 669418272
Q20 bases: 659332491(98.4934%)
Q30 bases: 641828879(95.8786%)
",8929070,292212,3494,0,30652,919336,
"
CW0478_2
","total reads: 4612388
total bases: 691858200
Q20 bases: 651927224(94.2284%)
Q30 bases: 609594523(88.1097%)
","total reads: 4464535
total bases: 669418272
Q20 bases: 640518636(95.6829%)
Q30 bases: 603482327(90.1503%)
",,,,,,,
CW0502_1,"total reads: 6019298
total bases: 902894700
Q20 bases: 882548830(97.7466%)
Q30 bases: 851219905(94.2768%)
","total reads: 5888109
total bases: 882952566
Q20 bases: 865807294(98.0582%)
Q30 bases: 837829536(94.8895%)
",11776218,252302,10076,0,31194,1160064,
CW0502_2,"total reads: 6019298
total bases: 902894700
Q20 bases: 860396204(95.2931%)
Q30 bases: 808450500(89.5398%)
","total reads: 5888109
total bases: 882952566
Q20 bases: 849903552(96.257%)
Q30 bases: 802538927(90.8926%)
",,,,,,,
CW0509_1,"total reads: 6317623
total bases: 947643450
Q20 bases: 926176411(97.7347%)
Q30 bases: 893151301(94.2497%)
","total reads: 6086694
total bases: 912470016
Q20 bases: 896009506(98.196%)
Q30 bases: 868704363(95.2036%)
",12173388,451164,10694,0,40716,1819288,
CW0509_2,"total reads: 6317623
total bases: 947643450
Q20 bases: 888623250(93.7719%)
Q30 bases: 821864244(86.7272%)
","total reads: 6086694
total bases: 912470016
Q20 bases: 870822532(95.4357%)
Q30 bases: 812452016(89.0388%)
",,,,,,,
CW0561_1,"total reads: 6166642
total bases: 924996300
Q20 bases: 910592556(98.4428%)
Q30 bases: 880131077(95.1497%)
","total reads: 6141549
total bases: 920889493
Q20 bases: 907281105(98.5223%)
Q30 bases: 877193806(95.2551%)
",12283098,49520,0,666,26240,1030406,
CW0561_2,"total reads: 6166642
total bases: 924996300
Q20 bases: 904367526(97.7699%)
Q30 bases: 862467741(93.2401%)
","total reads: 6141549
total bases: 920899266
Q20 bases: 901742557(97.9198%)
Q30 bases: 860392881(93.4296%)
",,,,,,,
